tick,E0_floor,E0_direction,E1_floor,E1_direction,E2_floor,E2_direction,E3_floor,E3_direction,E4_floor,E4_direction,E5_floor,E5_direction,E6_floor,E6_direction,E7_floor,E7_direction
39,40,UP,20,DOWN,40,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
40,41,UP,19,DOWN,41,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
41,42,UP,18,DOWN,42,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
42,43,UP,17,DOWN,43,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
43,44,UP,16,DOWN,44,UP,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
44,45,UP,15,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
45,46,UP,14,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
46,47,UP,13,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
47,48,UP,12,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
48,49,UP,11,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
49,50,UP,10,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
50,51,UP,9,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
51,52,UP,8,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
52,53,UP,7,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
53,54,UP,6,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
54,55,UP,5,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
55,56,UP,4,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
56,57,UP,3,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
57,58,UP,2,DOWN,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
58,59,UP,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
59,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
60,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
61,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
62,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
63,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
64,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
65,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
66,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
67,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
68,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
69,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
70,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
71,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
72,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
73,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
74,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
75,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
76,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
77,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
78,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
79,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
80,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
81,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
82,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
83,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
84,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
85,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
86,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
87,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
88,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
89,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
90,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
91,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
92,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
93,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
94,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
95,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
96,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
97,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
98,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
99,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
100,60,IDLE,1,IDLE,45,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE,1,IDLE
